rank,title,BGG_rating,avg_rating,list_price,amazon_price,year
408,Bruxelles,7.036,7.62,,,2013
409,London (Second Edition),7.034,7.52,,58.08,2017
410,Azul: Stained Glass of Sintra,7.034,7.32,,34.98,2018
411,Tiny Towns,7.033,7.24,,37.62,2019
412,Arkham Horror,7.033,7.24,,200.0,2005
413,San Juan (Second Edition),7.031,7.46,,29.99,2014
414,Unmatched: Robin Hood vs. Bigfoot,7.027,7.94,,,2019
415,Dice Forge,7.027,7.23,,44.99,2017
416,Civilization,7.026,7.5,,,1980
417,Codenames: Pictures,7.023,7.2,,24.99,2016
418,Skull,7.021,7.2,,,2011
419,Blitzkrieg!: World War Two in 20 Minutes,7.021,7.62,,,2019
420,Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,7.02,7.61,,46.39,2016
421,Nippon,7.02,7.65,,,2015
422,Sprawlopolis,7.019,7.35,,,2018
423,Turing Machine,7.019,7.79,,39.95,2022
424,Firefly: The Game,7.018,7.39,,79.99,2013
425,Cat in the Box: Deluxe Edition,7.017,7.64,,19.99,2022
426,Sword & Sorcery,7.016,7.91,,63.99,2017
427,Space Hulk (Third Edition),7.016,7.53,,834.04,2009
428,Santa Maria,7.015,7.48,,58.99,2017
429,Clash of Cultures,7.015,7.58,,,2012
430,Spartacus: A Game of Blood and Treachery,7.012,7.46,,130.0,2012
431,Cubitos,7.011,7.44,,46.49,2021
432,Stockpile,7.011,7.47,,,2015
433,Macao,7.009,7.41,,179.95,2009
434,King of Tokyo: Dark Edition,7.009,7.7,,79.9,2020
435,Biblios,7.008,7.2,,77.59,2007
436,ISS Vanguard,7.008,8.71,,146.47,2022
437,Fresco,7.008,7.26,,80.95,2010
438,Mythic Battles: Pantheon,7.007,8.34,,,2017
439,Claustrophobia,7.006,7.48,,249.99,2009
440,Dune,7.006,7.59,,,1979
441,Advanced Squad Leader,7.006,8.01,,,1985
442,Chess,7.004,7.19,,16.4,1475
443,Thunderstone Quest,7.004,7.78,,,2018
444,Wavelength,7.003,7.29,,31.49,2019
445,Mice and Mystics,7.002,7.24,,63.99,2012
446,The Manhattan Project,7.002,7.33,,99.99,2012
447,Flash Point: Fire Rescue,7.0,7.16,,39.99,2011
448,Mindbug: First Contact,6.999,7.77,,,2022
449,Marvel United: X-Men,6.999,8.12,,32.16,2021
450,Kingsburg,6.995,7.18,,,2007
451,Millennium Blades,6.994,7.67,,79.99,2016
452,Imperial Settlers: Empires of the North,6.991,7.46,,35.95,2019
453,Boonlake,6.99,7.69,,69.95,2021
454,John Company: Second Edition,6.988,8.33,,,2022
455,Glen More,6.986,7.3,,,2010
456,Pipeline,6.986,7.63,,,2019
457,Lancaster,6.984,7.4,,,2011
458,Lord of the Rings: The Confrontation,6.984,7.48,,,2005
459,Pandemic: Reign of Cthulhu,6.984,7.37,,39.99,2016
460,Heroscape Master Set: Rise of the Valkyrie,6.984,7.44,,399.99,2004
461,Black Orchestra,6.982,7.51,,50.0,2016
462,A Few Acres of Snow,6.981,7.37,,,2011
463,Mandala,6.981,7.54,,29.99,2019
464,Honey Buzz,6.979,7.62,,,2020
465,PitchCar,6.978,7.26,,,1995
466,Quadropolis,6.977,7.23,,,2016
467,Point Salad,6.976,7.17,,16.99,2019
468,Wayfarers of the South Tigris,6.974,7.86,,50.9,2022
469,Mystic Vale,6.969,7.26,,99.99,2016
470,Middara: Unintentional Malum – Act 1,6.969,8.63,,,2019
471,IKI,6.968,7.68,,54.98,2015
472,Commands & Colors: Napoleonics,6.967,8.02,,82.96,2010
473,Amerigo,6.964,7.45,,,2013
474,Cartographers Heroes,6.964,7.8,,22.52,2021
475,Stuffed Fables,6.962,7.47,,63.99,2018
476,Hadara,6.96,7.42,,49.99,2019
477,Pan Am,6.959,7.55,,27.24,2020
478,Descent: Legends of the Dark,6.959,7.95,,94.99,2021
479,Amun-Re,6.958,7.3,,,2003
480,Colt Express,6.958,7.09,,25.49,2014
481,BattleLore,6.958,7.35,,,2006
482,Fire in the Lake,6.957,8.05,,69.48,2014
